annotationDesc|predictDesc
C9|Bastrop|Bastrop
C7|Fisherman's Park|Fisherman's Park
C6|Colorado River|Colorado River
C2|Indiana St|Indiana St
C9|montrose|Montrose
C9|Houston|Houston
C1|1122 East 51st St|1122 East 51st St
C8|St Matthew's Catholic Church|St Matthew's Catholic Church
C9|Longview|Longview
C7|Luna Park|Luna Park
C9|Texas|Texas
C1|2500 Summer St|2500 Summer St
C1|314 Harvard St Cambridge|314 Harvard St Cambridge
C9|Houston|Houston
C9|Houston, TX|Houston, TX
C9|Austin|Austin
C9|Houston, Tx|Houston, Tx
C7|Ford Park|Ford Park
C9|HarrisCounty|HarrisCounty
C8|Kempner HS|Kempner HS
C7|Rockport Fairfield Inn|Rockport Fairfield Inn
C8|Houston Church|Houston Church
C7|Jesse jones park|Jesse jones park
C1|2020 Mangum Rd. Houston, TX 7709|2020 Mangum Rd. Houston, TX 7709
C9|Houston, Tx|Houston, Tx
C9|Orange|Orange
C2|Bridal Wreathe Ave|Bridal Wreathe Ave
C9|Lakewood|Lakewood
C9|Houston, TX|Houston, TX
C4|Townsend exit|Townsend exit
C3|59 southbound|59 southbound
C11|Kelly St. between Gold St. and Elysian St|Kelly St. between Gold St. and Elysian St
C2|Louisiana Street|Louisiana Street
C6|Gulf Coast|Gulf Coast
C1|801 N Station St, Port Aransas, TX|801 N Station St, Port Aransas, TX
C9|Corpus|Corpus
C9|San Angelo|San Angelo
C3|highway 37|highway 37
C9|League City|League City
C7|Buffalo Bayou Park|Buffalo Bayou Park
C9|Corpus Christi|Corpus Christi
C7|Swantner Park|Swantner Park
C7|Alt 90 bridge|Alt 90 bridge
C7|Bayshore Park and Ride|Bayshore Park and Ride
C1|5725 N Port Washington Rd|5725 N Port Washington Rd
C2|Main Street|Main Street
C9|Frisco|Frisco
C9|Texas|Texas
C2|French Street|French Street
C7|PortAransas trailer park|PortAransas trailer park
C3|Beltway 8|Beltway 8
C9|Houston, TX|Houston, TX
C7|Ken's Pizza|Ken's Pizza
C7|Iowa Park|Iowa Park
C5|grand parkway/mason rd|grand parkway/mason rd
C9|Richmond|Richmond
C1|1050 Cecilia St in Alice|1050 Cecilia St in Alice
C8|St. Paul Lutheran Church|St. Paul Lutheran Church
C9|Corpus Christi|Corpus Christi
C9|Austin, TX|Austin, TX
C9|Texas|Texas
C7|Lopez Mexican Restaurant|Lopez Mexican Restaurant
C1|11606 Wilcrest Dr, Houston, TX 77099|11606 Wilcrest Dr, Houston, TX 77099
C9|Dallas|Dallas
C1|12515 Versailles Drive Houston, Tx 77015|12515 Versailles Drive Houston, Tx 77015
C9|Rockport, TX|Rockport, TX
C6|Buffalo bayou|Buffalo bayou
C1|3642 E Houston St|3642 E Houston St
C1|159 Park Ave|159 Park Ave
C9|Cook County|Cook County
C9|Rockport|Rockport
C5|Clay Rd & Queenston|Clay Rd & Queenston
C9|west Houston|west Houston
C5|3rd St & Prospect Park West|3rd St & Prospect Park West
C1|1600 Pennsylvania Avenue NW Washington, DC 20500|1600 Pennsylvania Avenue NW Washington, DC 20500
C9|Aransas, TX|Aransas, TX
C7|NRG Park|NRG Park
C9|Houston|Houston
C5|Memorial Drive @ Memorial Mews St|Memorial Drive @ Memorial Mews St
C9|Houston|Houston
C5|Seventh Street and Landrum|Seventh Street and Landrum
C9|League City|League City
C9|St. Thomas|St. Thomas
C9|Houston|Houston
C9|Miami|Miami
C9|Huston Texas|Huston Texas
C9|Port Arthur, Texas|Port Arthur, Texas
C9|Houston|Houston
C6|White Oak Bayou|White Oak Bayou
C5|IH 10 & Yale St|IH 10 & Yale St
C2|Olentangy River Rd|Olentangy River Rd
C1|5201 Hershe Street|5201 Hershe Street
C2|Fawcett St|Fawcett St
C9|Smithville|Smithville
C9|Rockport|Rockport
C2|Watterson rd|Watterson rd
C9|Bastrop City|Bastrop City
C2|Nederland Ave|Nederland Ave
C2|Houston Ave|Houston Ave
C7|Bull Sallas Park|Bull Sallas Park
C1|21679 McCleskey Road, New Caney, TX 77357|21679 McCleskey Road, New Caney, TX 77357
C5|Irving Street at Washington|Irving Street at Washington
C9|Beaumont|Beaumont
C9|Beaumont, TX|Beaumont, TX
C2|North Main|North Main
C2|North Main Street|North Main Street
C9|Texas|Texas
C9|Dallas|Dallas
C7|Pioneer Trailer Park|Pioneer Trailer Park
C9|Rockport, TX|Rockport, TX
C9|Rockport|Rockport
C9|Houston|Houston
C7|Assam|Assam
C7|Kaziranga National Park|Kaziranga National Park
C7|Briargrove Park|Briargrove Park
C7|Harbor Bridge|Harbor Bridge
C9|Corpus Christi|Corpus Christi
C5|I-10 & Boerne Stage Rd|I-10 & Boerne Stage Rd
C2|Kelley St|Kelley St
C1|600 Congress Avenue 14th floor, Austin TX 78701|600 Congress Avenue 14th floor, Austin TX 78701
C9|Fayette County|Fayette County
C2|Oliver Street|Oliver Street
C2|West St|West St
C5|Palm St. and S Carrollton Ave|Palm St. and S Carrollton Ave
C7|Galveston Seawall|Galveston Seawall
C2|61st Street|61st Street
C9|Galveston|Galveston
C5|Braesmont Dr. & S. Braeswood Blvd|Braesmont Dr. & S. Braeswood Blvd
C9|Houston|Houston
C5|Old Spanish Trail & Scotts St|Old Spanish Trail & Scotts St
C7|Osceola County nature park|Osceola County nature park
C9|Texas|Texas
C9|Rockport, TX|Rockport, TX
C9|Vidor TX|Vidor TX
C9|Texas|Texas
C2|S. Friendswood Drive|S. Friendswood Drive
C9|Friendswood, TX|Friendswood, TX
C7|Buffalo Bayou Park|Buffalo Bayou Park
C9|Houston Texas|Houston Texas
C2|Paris Ave|Paris Ave
C3|I-610 E|I-610 E
C1|295 Sawdust Rd., Spring, 77380|295 Sawdust Rd., Spring, 77380
C2|Lockwood Drive|Lockwood Drive
C2|Minden Street|Minden Street
C2|Normandy St|Normandy St
C9|Orange Grove, TX|Orange Grove, TX
C5|Mason rd and university park dr|Mason rd and university park dr
C9|KatyTX|KatyTX
C1|3003 15th St|3003 15th St
C2|Airline Road|Airline Road
C9|Corpus Christi|Corpus Christi
C8|Southwest Calvary Baptist Church|Southwest Calvary Baptist Church
C1|7711 Burnet Rd|7711 Burnet Rd
C9|Texas|Texas
C6|Gulf Coast|Gulf Coast
C1|12601 Westheimer Rd|12601 Westheimer Rd
C7|Cinco Ranch|Cinco Ranch
C7|Vintage Park|Vintage Park
C9|Memorial|Memorial
C9|Rice Village|Rice Village
C9|Sugar Land|Sugar Land
C2|Canal St|Canal St
C9|Nederland TX|Nederland TX
C9|Louise St|Louise St
C9|Cedar Park|Cedar Park
C1|19002 Mission Park Drive, Richmond, TX 77407|19002 Mission Park Drive, Richmond, TX 77407
C2|Broadway St|Broadway St
C9|PORT ARTHUR|PORT ARTHUR
C1|413 Speights Loop Road, Hankamer, TX 77560|413 Speights Loop Road, Hankamer, TX 77560
C9|Rockport, Texas|Rockport, Texas
C8|St Luke's|St Luke's
C1|1101 Bates St., Houston, TX 77030|1101 Bates St., Houston, TX 77030
C9|New Orleans|New Orleans
C2|Broad St|Broad St
C8|TheMET Church|TheMET Church
C9|Houston|Houston
C1|413 Speights Loop Road, Hankamer, TX 77560|413 Speights Loop Road, Hankamer, TX 77560
C8|St Michael Church|St Michael Church
C7|Pioneer Trailer Park|Pioneer Trailer Park
C9|Rockport, TX|Rockport, TX
C6|Buffalo Bayou|Buffalo Bayou
C2|Memorial Dr|Memorial Dr
C9|Texas|Texas
C9|Texas|Texas
C9|Port Aransas, TX|Port Aransas, TX
C1|2405 International Ave, Orange, Tx 77632|2405 International Ave, Orange, Tx 77632
C8|Kolter Elem|Kolter Elem
C2|Plum Grove Rd|Plum Grove Rd
C9|Pecan Grove|Pecan Grove
C2|Patton Street|Patton Street
C9|Rockport, TX|Rockport, TX
C9|Cypress Terrace|Cypress Terrace
C9|Spring, Tx|Spring, Tx
C8|St. Luke's hospital|St. Luke's hospital
C9|Port Arkansas|Port Arkansas
C2|Wallaceville St|Wallaceville St
C1|1738 Adams Ave|1738 Adams Ave
C1|3435 Dixie Rd, Houston 77021|3435 Dixie Rd, Houston 77021
C9|Denver Harbor|Denver Harbor
C1|64012 Market St|64012 Market St
C6|Gulf Coast|Gulf Coast
C2|Ocean Dr|Ocean Dr
C7|Palmetto Park|Palmetto Park
C1|4318 Kylewood Ct., Port Arthur, TX 77642|4318 Kylewood Ct., Port Arthur, TX 77642
C7|Harbor Master Building|Harbor Master Building
C1|2302 Fannin St, Houston, TX 77002|2302 Fannin St, Houston, TX 77002
C9|TX|TX
C7|Memorial Park|Memorial Park
C5|Sterret & William St|Sterret & William St
C1|11910 Drifting Winds Drive, Houston TX 77044|11910 Drifting Winds Drive, Houston TX 77044
C10|Pasadena/Deer Park|Pasadena/Deer Park
C8|Deepwater Elementary|Deepwater Elementary
C7|George Bush Park|George Bush Park
C9|Fulshear|Fulshear
C2|Pool Hill Rd|Pool Hill Rd
C9|Virginia Beach|Virginia Beach
C2|Houston Ave|Houston Ave
C9|Troup, Texas|Troup, Texas
C2|Houston Ave|Houston Ave
C2|Hennigan Rd|Hennigan Rd
C1|101 E Goodnight Ave|101 E Goodnight Ave
C2|25th St|25th St
C9|galveston|Galveston
C6|Galveston Island|Galveston Island
C9|Port Arthur, TX|Port Arthur, TX
C1|1500 Old Leonard Avenue|1500 Old Leonard Avenue
C5|Airport blvd & station drive|Airport blvd & station drive
C6|White Oak Bayou|White Oak Bayou
C7|Stude Park|Stude Park
C7|terry hershey park|terry hershey park
C1|4318 Kylewood Ct., Port Arthur, TX 77642|4318 Kylewood Ct., Port Arthur, TX 77642
C9|Rockport, TX|Rockport, TX
C7|Menlo Park|Menlo Park
C9|Texas|Texas
C1|16547 Park Scot Dr. Houston 77084|16547 Park Scot Dr. Houston 77084
C9|Rockport, Texas|Rockport, Texas
C7|Overland Park|Overland Park
C2|Carrollton Ave|Carrollton Ave
C9|Orange Co|Orange Co
C9|Fulton Texas|Fulton Texas
C7|Capono Bay Bridge|Capono Bay Bridge
C9|Rockport|Rockport
C2|Texas Avenue|Texas Avenue
C3|I-10|I-10
C9|BeaumontTx|BeaumontTx
C1|205 Windo Circle Suite 200, Wylie, TX 75098|205 Windo Circle Suite 200, Wylie, TX 75098
C7|Menlo Park|Menlo Park
C2|South Arch Street|South Arch Street
C9|Aransas Pass|Aransas Pass
C1|6606 Reamer St Houston, TX 77074|6606 Reamer St Houston, TX 77074
C8|First Sixth St Baptist Church|First Sixth St Baptist Church
C6|Village Creek|Village Creek
C9|Lumberton|Lumberton
C8|St. John's Episcopal Church|St. John's Episcopal Church
C7|Lafayette Park|Lafayette Park
C5|Greenhouse Rd @ Saums|Greenhouse Rd @ Saums
C9|katy|katy
C9|Houston|Houston
C9|Missouri|Missouri
C7|Village Park Plaza|Village Park Plaza
C9|Corpus Christi|Corpus Christi
C1|5041 S. Padre Island Drive, Corpus Christi, Texas|5041 S. Padre Island Drive, Corpus Christi, Texas
C2|Granite St|Granite St
C9|Houston|Houston
C1|5005 Lord Rd, Cosby, TX|5005 Lord Rd, Cosby, TX
C1|7071 Bonnie View Rd|7071 Bonnie View Rd
C7|Lynn Park|Lynn Park
C7|trailer park|trailer park
C9|Katy|Katy
C5|Richmond Ave & Kirby Dr|Richmond Ave & Kirby Dr
C9|Victoria, TX|Victoria, TX
C1|414 Curtis Ave, Pasadena TX|414 Curtis Ave, Pasadena TX
C6|Texas Coast|Texas Coast
C7|Mustang Island State Park|Mustang Island State Park
C7|Eleanor Tinsley Park|Eleanor Tinsley Park
C2|Wheeler Avenue|Wheeler Avenue
C9|Aransas Pass|Aransas Pass
C9|Houston|Houston
C9|corpus christi|corpus christi
C9|Sinton|Sinton
C2|Lethia St|Lethia St
C1|240 W. 18th St 77008|240 W. 18th St 77008
C2|Clay Rd|Clay Rd
C8|Wayfinders Church|Wayfinders Church
C1|401 Center St, Kyle TX|401 Center St, Kyle TX
C1|6002 Washington Ave 77007|6002 Washington Ave 77007
C9|houston|houston
C1|1122 E 51st St|1122 E 51st St
C6|White Oak Bayou|White Oak Bayou
C7|Stude Park|Stude Park
C9|City Park|City Park
C9|Corpus Christi|Corpus Christi
C1|5041 S. Padre Island Drive, Corpus Christi|5041 S. Padre Island Drive, Corpus Christi
C9|port aransas|port aransas
C2|Taylor Street|Taylor Street
C9|La Grange|La Grange
C2|White Creek Road|White Creek Road
C9|College Station|College Station
C2|mesa rd|mesa rd
C9|houston|houston
C9|Odessa|Odessa
C9|Liberty County|Liberty County
C9|Corpus|Corpus
C1|5726 Grant Avenue, Port Arthur, 776|5726 Grant Avenue, Port Arthur, 776
C1|12903 Jones Rd|12903 Jones Rd
C9|Texas|Texas
C9|Florida|Florida
C9|Cedar Park|Cedar Park
C9|Georgetown|Georgetown
C1|8130 Snowden St Houston TX 77028|8130 Snowden St Houston TX 77028
C1|11911 Hillcroft Ave. 77035|11911 Hillcroft Ave. 77035
C6|WhiteOakBayou|WhiteOakBayou
C5|Yale St @ I-10|Yale St @ I-10
C6|White Oak Bayou|White Oak Bayou
C6|Oyster Creek|Oyster Creek
C6|Lakes of Brightwater|Lakes of Brightwater
C2|Lakefront Drive|Lakefront Drive
C9|Houston|Houston
C5|Beaumont Hwy & John Ralston Rd|Beaumont Hwy & John Ralston Rd
C1|550 Normandy Rd 1620 77015|550 Normandy Rd 1620 77015
C9|Texas City|Texas City
C2|S. Humble Camp Rd|S. Humble Camp Rd
C7|GCWA reservoir|GCWA reservoir
C9|Texas|Texas
C9|LA|LA
C9|TX|TX
C7|Dallas Market Center|Dallas Market Center
C7|Buffalo Bayou Park|Buffalo Bayou Park
C8|St. Anne Catholic School|St. Anne Catholic School
C9|Houston|Houston
C5|Fry Rd. & I-10|Fry Rd. & I-10
C9|Cedar Park|Cedar Park
C9|Wharton County|Wharton County
C9|Des Moines|Des Moines
C2|Washington Ave|Washington Ave
C9|City of Dallas|City of Dallas
C7|Samuel Grand Recreation Center|Samuel Grand Recreation Center
C1|6200 E. Grand Ave|6200 E. Grand Ave
C7|Goose Island State Park|Goose Island State Park
C9|Rockport|Rockport
C9|Corpus Christi|Corpus Christi
C9|San Antonio|San Antonio
C5|NASA Rd 1 and El Dorado|NASA Rd 1 and El Dorado
C9|Houston|Houston
C1|1700 Bissonnet St. 77005|1700 Bissonnet St. 77005
C9|Rockport, Texas|Rockport, Texas
C7|Tarpon Inn|Tarpon Inn
C9|Spring TX|Spring TX
C2|Spring Creek Drive|Spring Creek Drive
C3|TX-361|TX-361
C9|Port Aransas|Port Aransas
C9|Aransas Pass|Aransas Pass
C7|Main Street Bridge|Main Street Bridge
C6|Brays Bayou|Brays Bayou
C9|Rockport|Rockport
C7|Toney Burger Activity Ctr|Toney Burger Activity Ctr
C1|3200 Jones Rd|3200 Jones Rd
C9|Kashmere Gardens, Houston TX|Kashmere Gardens, Houston TX
C1|500 Neches Ave|500 Neches Ave
C7|Hermann Park|Hermann Park
C9|Champion Forest|Champion Forest
C9|Spring, TX|Spring, TX
C9|Deer Park|Deer Park
C8|church Mt. Canaan|church Mt. Canaan
C5|N. Wayside and Ley Road|N. Wayside and Ley Road
C9|Rockport, TX|Rockport, TX
C9|Corpus Christi|Corpus Christi
C6|Buffalo Bayou|Buffalo Bayou
C7|Jackson Hill Bridge|Jackson Hill Bridge
C7|Fannin Street bridge|Fannin Street bridge
C9|Columbus|Columbus
C8|St. John|St. John
C1|2299 Philippi Chrch Rd|2299 Philippi Chrch Rd
C7|Spotts Park|Spotts Park
C2|Waugh Dr|Waugh Dr
C2|Memorial Dr|Memorial Dr
C7|Minute Maid Park|Minute Maid Park
C7|NRG stadium|NRG stadium
C8|Pecan Grove Baptist Church|Pecan Grove Baptist Church
C9|Brookline, MA|Brookline, MA
C8|Clute Intermediate School|Clute Intermediate School
C1|11711 Woodshadow Lane., Pearland, TX 77584|11711 Woodshadow Lane., Pearland, TX 77584
C7|Central Park|Central Park
C8|Heritage Park Baptist Church|Heritage Park Baptist Church
C9|Dickinson|Dickinson
C9|Rockport|Rockport
C7|Crystal Park Plaza|Crystal Park Plaza
C9|Missouri|Missouri
C2|Old Sour Lake Rd|Old Sour Lake Rd
C2|Moore Rd|Moore Rd
C9|Annaville|Annaville
C1|13024 Leopard St|13024 Leopard St
C2|Water Street|Water Street
C9|La Grange|La Grange
C2|Wheeler Ave|Wheeler Ave
C9|Aransas Pass|Aransas Pass
C7|River Terrace Park|River Terrace Park
C9|Victoria, TX|Victoria, TX
C9|TX|TX
C2|Arrow Hll Rd|Arrow Hll Rd
C6|White Oak Bayou|White Oak Bayou
C7|Minute Maid Park|Minute Maid Park
C9|Rockport|Rockport
C9|Houston|Houston
C9|Aransas Pass|Aransas Pass
C5|feeder road at the Eastex Frwy|feeder road at the Eastex Frwy
C9|Houston TX|Houston TX
C2|Maxwell Dr|Maxwell Dr
C1|1215 N. Adams St|1215 N. Adams St
C8|1st Baptist Church|1st Baptist Church
C2|Lauder Rd|Lauder Rd
C5|Red Bluff Rd & Fairmont Pkwy|Red Bluff Rd & Fairmont Pkwy
C9|Pasadena, TX|Pasadena, TX
C1|8135 Hall Lake Dr, Houston TX 77075|8135 Hall Lake Dr, Houston TX 77075
C9|Victoria, TX|Victoria, TX
C2|Navarro St|Navarro St
C1|7770 S. County Line Rd|7770 S. County Line Rd
C9|Dallas|Dallas
C1|650 S. Griffin St|650 S. Griffin St
C7|Kay Bailey Hutchison Convention Center|Kay Bailey Hutchison Convention Center
C7|Glen Cove Park|Glen Cove Park
C9|Kemah|Kemah
C8|Takoma Park SDA Church|Takoma Park SDA Church
C8|St Johns Church|St Johns Church
C8|Westminster Presbyterian Church|Westminster Presbyterian Church
C2|Krog Street|Krog Street
C1|8305 talton street houston tx|8305 talton street houston tx
C9|Port Aransas, TX|Port Aransas, TX
C7|Goose Island State Park|Goose Island State Park
C9|Texas|Texas
C6|Gulf Coast|Gulf Coast
C8|St. John's Episcopal Church|St. John's Episcopal Church
C7|Lafayette Park|Lafayette Park
C1|240 W. 18th St 77008|240 W. 18th St 77008
C9|Rockport|Rockport
C5|FM 1322 at Plum Creek|FM 1322 at Plum Creek
C5|FM 1854 at Highland Ranch Way|FM 1854 at Highland Ranch Way
C9|Houston|Houston
C1|4109 S. Staples St., Corprus Christi|4109 S. Staples St., Corprus Christi
C1|330 Columbus Ave., Valhalla, NY|330 Columbus Ave., Valhalla, NY
C7|Whites Park Pavilion|Whites Park Pavilion
C9|Galena Park, Texas|Galena Park, Texas
C9|Rockport TX|Rockport TX
C9|Cedar Park|Cedar Park
C7|Commerce St. Bridge|Commerce St. Bridge
C9|SanAntonio|SanAntonio
C5|Sterret & William St|Sterret & William St
C2|South Congress Ave|South Congress Ave
C1|9013 McGallion Rd Houston, TX 77022|9013 McGallion Rd Houston, TX 77022
C9|Rockport|Rockport
C9|Refugio, TX|Refugio, TX
C9|Plano|Plano
C7|OakPoint Park|OakPoint Park
C7|Timonium|Timonium
C2|York Rd|York Rd
C9|Rockport, TX|Rockport, TX
C1|2907 Trinity Drive, Pearland, Tx|2907 Trinity Drive, Pearland, Tx
C1|7007 Lila Street Pearland, Tx|7007 Lila Street Pearland, Tx
C1|18107 Flower Grove Court, Richmond, Texas, 77407|18107 Flower Grove Court, Richmond, Texas, 77407
C9|Kingwood, TX|Kingwood, TX
C1|4906 Middle Falls Dr|4906 Middle Falls Dr
C3|I-45|I-45
C3|I-10|I-10
C7|River Park|River Park
C6|Brazos River|Brazos River
C9|TX|TX
C11|Richmond Ave between Highway 6 and Gessner|Richmond Ave between Highway 6 and Gessner
C1|1800 N. Lamar St|1800 N. Lamar St
C2|Monroe St|Monroe St
C5|Beacon St & St Marys St|Beacon St & St Marys St
C2|S. Fry Road|S. Fry Road
C9|Katy|Katy
C9|Rockport|Rockport
C9|Port Aransas|Port Aransas
C9|Rockport|Rockport
C9|Rockport|Rockport
C7|Goose Island State Park|Goose Island State Park
C7|The Life Center Charlotte|The Life Center Charlotte
C1|2435 Toomey Ave|2435 Toomey Ave
C9|Rockport|Rockport
C1|1524 Freeman St, 77009|1524 Freeman St, 77009
C2|Airline Rd|Airline Rd
C9|Corpus Christi|Corpus Christi
C5|Rummel Creek @ Memorial Drive|Rummel Creek @ Memorial Drive
C7|Terry Hershey Park|Terry Hershey Park
C1|1705 S Hanley Rd|1705 S Hanley Rd
C7|Ford Park|Ford Park
C9|Dallas|Dallas
C2|Richey rd|Richey rd
C9|Uptown|Uptown
C9|San Marcos|San Marcos
C7|Union Station|Union Station
C7|Minute Maid Park|Minute Maid Park
C7|Sandy creek park|Sandy creek park
C9|Jasper|Jasper
C1|7315 Brompton St, Houston|7315 Brompton St, Houston
C7|Tommie M. Allen Rec Center|Tommie M. Allen Rec Center
C1|7071 Bonnie View Rd|7071 Bonnie View Rd
C9|Tivoli Texas|Tivoli Texas
C2|Scott street|Scott street
C9|East TX|East TX
C9|houston|houston
C1|1471 Godwin Street, Houston TX|1471 Godwin Street, Houston TX
C1|8823 Frey Rd 77034|8823 Frey Rd 77034
C8|St. Margarets Catholic Church|St. Margarets Catholic Church
C9|Rockport|Rockport
C2|Lyons Avenue|Lyons Avenue
C7|The DeLuxe Theater|The DeLuxe Theater
C5|Cypress & 290|Cypress & 290
C9|Shavano Park|Shavano Park
C6|Spring Creek|Spring Creek
C5|Garrett Rd at CE King|Garrett Rd at CE King
C9|Corpus Christi TX|Corpus Christi TX
C8|Tuloso Midway High School|Tuloso Midway High School
C1|2653 McKenzie Road|2653 McKenzie Road
C9|Yorktown TX|Yorktown TX
C8|Morning Star Baptist Church|Morning Star Baptist Church
C1|5340 Jewella Ave., Shreveport, LA|5340 Jewella Ave., Shreveport, LA
C2|Whitecap Boulevard|Whitecap Boulevard
C6|Bray Bayou|Bray Bayou
C9|Florida|Florida
C6|Gulf|Gulf
C1|2020 Mangum Rd. Houston, TX 7709|2020 Mangum Rd. Houston, TX 7709
C2|godwin street|godwin street
C9|deer park|deer park
C6|Addicks Lake|Addicks Lake
C2|Tanner Rd|Tanner Rd
C9|Houston|Houston
C7|Minute Maid Park|Minute Maid Park
C2|South Main|South Main
C7|NRG Park|NRG Park
C9|Galveston|Galveston
C7|NRG Park|NRG Park
C9|Missouri City|Missouri City
C6|Spring Creek|Spring Creek
C2|Grogans Mill Road|Grogans Mill Road
C5|Sawdust @ IH-45|Sawdust @ IH-45
C8|Ray High School|Ray High School
C9|Corpus Christi|Corpus Christi
C8|St. Frederick High|St. Frederick High
C5|Mills Rd. & Gessner|Mills Rd. & Gessner
C3|Beltway 8|Beltway 8
C9|Houston|Houston
C7|Memorial Park|Memorial Park
C9|Cedar Park|Cedar Park
C9|Wimberley|Wimberley
C9|sanmarcos|sanmarcos
C7|LaLa Park|LaLa Park
C9|Rockport, TX|Rockport, TX
C2|beechnut Rd|beechnut Rd
C9|Houston|Houston
C9|Deer Park, TX|Deer Park, TX
C2|Western Ridge Street|Western Ridge Street
C2|Butler Hill Road|Butler Hill Road
C11|Almeda Genoa Rd. from Windmill Lakes Blvd. to Rowlett Rd|Almeda Genoa Rd. from Windmill Lakes Blvd. to Rowlett Rd
C9|Houston|Houston
C9|TX|TX
C7|Stude Park|Stude Park
C2|White Oak Dr|White Oak Dr
C6|White Oak Bayou|White Oak Bayou
C3|I-10|I-10
C8|Sugar Land Methodist church|Sugar Land Methodist church
C1|431 Eldridge Road|431 Eldridge Road
C7|memorial park|memorial park
C9|Houston|Houston
C6|Texas Coast|Texas Coast
C9|Houston, TX|Houston, TX
C1|2020 Mangum Rd. Houston|2020 Mangum Rd. Houston
C1|2900 31st Ave|2900 31st Ave
C9|Houston|Houston
C9|Rockport|Rockport
C9|TX|TX
C6|Gulf Coast|Gulf Coast
C9|League City|League City
C7|Sara Park|Sara Park
C9|Tomahawk|Tomahawk
C7|South Shore Park|South Shore Park
C1|1800 N. Lamar St|1800 N. Lamar St
